Date,BNO_Open,HXT_Open,CAD_USD
60,19.3013937,27.540001,1.30503
59,19.02099658,27.120001,1.28955909
58,18.5977908,27.120001,1.29420952
57,15.21564425,25.98,1.28185714
56,14.89268071,25.09,1.32261818
55,15.3826515,24.59,1.37961
54,17.8927227,24.83,1.422315
53,20.24179272,26.01,1.37046667
52,22.0188203,25.959999,1.328035
51,22.2627527,25.620001,1.30726667
50,24.66326451,25.959999,1.32669524
49,23.4441321,27.620001,1.31487
48,28.76522654,27.530001,1.28645909
47,29.02310755,28.299999,1.23660455
46,29.3654885,28.549999,1.218485
45,25.50080352,27.969999,1.23311429
44,28.92306063,28.51,1.26191364
43,25.86261008,27.65,1.25000526
42,26.6534191,27.370001,1.21151905
41,31.96815482,27.35,1.15325238
40,38.37409403,27.059999,1.13264737
39,42.38342087,27.450001,1.12125455
38,44.99425472,28.33,1.10118095
37,46.42988744,27.889999,1.092725
36,48.65923381,27.290001,1.07391818
35,47.34105112,26.299999,1.08307143
34,46.63599201,26.219999,1.08937143
33,47.06468537,25.68,1.09912857
32,49.30460622,25.24,1.11071429
31,46.27667189,24.379999,1.10551053
30,47.30187304,24.27,1.09419091
29,46.12071312,23.85,1.063915
28,44.3404577,23.780001,1.04923
27,43.66142654,22.5,1.03635
26,45.70306457,22.6,1.03424
25,43.32067124,22.14,1.0408619
24,40.84827147,21.44,1.04032273
23,39.7114025,22.14,1.031465
22,38.54047603,21.54,1.01985909
21,42.28095567,22.14,1.01869545
20,42.33671841,22.2,1.02473
19,43.6557013,22,1.00984737
18,41.22307613,21.72,0.99213182
17,40.58714825,21.04,0.98956842
16,39.21886714,21.28,0.99704762
15,40.17922617,21.08,0.98720455
14,40.73619248,20.34,0.97829474
13,37.27969569,19.7,0.99214091
12,34.68159158,19.86,1.01393333
11,36.15213286,19.04,1.02807143
10,42.34262986,20.64,1.00984091
9,42.5242692,20.82,0.99263
8,42.79537841,21.02,0.99385455
7,38.88952894,20.84,0.99652857
6,38.97005166,20.08,1.0132619
5,38.82192515,20.28,1.023785
4,37.3911054,19.82,1.02581905
3,34.65875313,19.1,1.019825
2,38.43467,21.04,1.0026
1,39.29379718,21.3,0.98283636
