Var num,Date,Cat,Val
1,1,BNO,79.959999
2,2,BNO,76.669998
3,3,BNO,67.970001
4,4,BNO,72.900002
5,5,BNO,75.839996
6,6,BNO,76.919998
7,7,BNO,78.050003
8,8,BNO,86.120003
9,9,BNO,85.68
10,10,BNO,83.860001
11,11,BNO,70.330002
12,12,BNO,68.410004
13,13,BNO,75.150002
14,14,BNO,83.279999
15,15,BNO,81.400002
16,16,BNO,78.669998
17,17,BNO,82.029999
18,18,BNO,83.099998
19,19,BNO,86.459999
20,20,BNO,82.629997
21,21,BNO,83.010002
22,22,BNO,75.580002
23,23,BNO,77
24,24,BNO,78.529999
25,25,BNO,83.239998
26,26,BNO,44.189999
27,27,BNO,42.130001
28,28,BNO,42.259998
29,29,BNO,43.349998
30,30,BNO,43.23
31,31,BNO,41.860001
32,32,BNO,44.389999
33,33,BNO,42.82
34,34,BNO,42.810001
35,35,BNO,43.709999
36,36,BNO,45.310001
37,37,BNO,42.490002
38,38,BNO,40.860001
39,39,BNO,37.799999
40,40,BNO,33.880001
41,41,BNO,27.719999
42,42,BNO,22
43,43,BNO,20.690001
44,44,BNO,22.92
45,45,BNO,20.68
46,46,BNO,24.1
47,47,BNO,23.469999
48,48,BNO,22.360001
49,49,BNO,17.83
50,50,BNO,18.59
51,51,BNO,17.030001
52,52,BNO,16.58
53,53,BNO,14.77
54,54,BNO,12.58
55,55,BNO,11.15
56,56,BNO,11.26
57,57,BNO,11.87
58,58,BNO,14.37
59,59,BNO,14.75
60,60,BNO,14.79
61,1,HXT,10.65
62,2,HXT,10.52
63,3,HXT,9.55
64,4,HXT,9.91
65,5,HXT,10.14
66,6,HXT,10.04
67,7,HXT,10.42
68,8,HXT,10.51
69,9,HXT,10.41
70,10,HXT,10.32
71,11,HXT,9.52
72,12,HXT,9.93
73,13,HXT,9.85
74,14,HXT,10.17
75,15,HXT,10.54
76,16,HXT,10.64
77,17,HXT,10.52
78,18,HXT,10.86
79,19,HXT,11
80,20,HXT,11.1
81,21,HXT,11.07
82,22,HXT,10.77
83,23,HXT,11.07
84,24,HXT,10.72
85,25,HXT,11.07
86,26,HXT,11.3
87,27,HXT,22.5
88,28,HXT,23.780001
89,29,HXT,23.85
90,30,HXT,24.27
91,31,HXT,24.379999
92,32,HXT,25.24
93,33,HXT,25.68
94,34,HXT,26.219999
95,35,HXT,26.299999
96,36,HXT,27.290001
97,37,HXT,27.889999
98,38,HXT,28.33
99,39,HXT,27.450001
100,40,HXT,27.059999
101,41,HXT,27.35
102,42,HXT,27.370001
103,43,HXT,27.65
104,44,HXT,28.51
105,45,HXT,27.969999
106,46,HXT,28.549999
107,47,HXT,28.299999
108,48,HXT,27.530001
109,49,HXT,27.620001
110,50,HXT,25.959999
111,51,HXT,25.620001
112,52,HXT,25.959999
113,53,HXT,26.01
114,54,HXT,24.83
115,55,HXT,24.59
116,56,HXT,25.09
117,57,HXT,25.98
118,58,HXT,27.120001
119,59,HXT,27.120001
120,60,HXT,27.540001
121,1,CADUSD,0.98283636
122,2,CADUSD,1.0026
123,3,CADUSD,1.019825
124,4,CADUSD,1.02581905
125,5,CADUSD,1.023785
126,6,CADUSD,1.0132619
127,7,CADUSD,0.99652857
128,8,CADUSD,0.99385455
129,9,CADUSD,0.99263
130,10,CADUSD,1.00984091
131,11,CADUSD,1.02807143
132,12,CADUSD,1.01393333
133,13,CADUSD,0.99214091
134,14,CADUSD,0.97829474
135,15,CADUSD,0.98720455
136,16,CADUSD,0.99704762
137,17,CADUSD,0.98956842
138,18,CADUSD,0.99213182
139,19,CADUSD,1.00984737
140,20,CADUSD,1.02473
141,21,CADUSD,1.01869545
142,22,CADUSD,1.01985909
143,23,CADUSD,1.031465
144,24,CADUSD,1.04032273
145,25,CADUSD,1.0408619
146,26,CADUSD,1.03424
147,27,CADUSD,1.03635
148,28,CADUSD,1.04923
149,29,CADUSD,1.063915
150,30,CADUSD,1.09419091
151,31,CADUSD,1.10551053
152,32,CADUSD,1.11071429
153,33,CADUSD,1.09912857
154,34,CADUSD,1.08937143
155,35,CADUSD,1.08307143
156,36,CADUSD,1.07391818
157,37,CADUSD,1.092725
158,38,CADUSD,1.10118095
159,39,CADUSD,1.12125455
160,40,CADUSD,1.13264737
161,41,CADUSD,1.15325238
162,42,CADUSD,1.21151905
163,43,CADUSD,1.25000526
164,44,CADUSD,1.26191364
165,45,CADUSD,1.23311429
166,46,CADUSD,1.218485
167,47,CADUSD,1.23660455
168,48,CADUSD,1.28645909
169,49,CADUSD,1.31487
170,50,CADUSD,1.32669524
171,51,CADUSD,1.30726667
172,52,CADUSD,1.328035
173,53,CADUSD,1.37046667
174,54,CADUSD,1.422315
175,55,CADUSD,1.37961
176,56,CADUSD,1.32261818
177,57,CADUSD,1.28185714
178,58,CADUSD,1.29420952
179,59,CADUSD,1.28955909
180,60,CADUSD,1.30503
